star_id,radius_fraction,radius_cm,mass_enclosed_g,density_g_cm3,pressure_dyn_cm2,temperature_k,mean_molecular_weight,epsilon_erg_g_s,grad_ad,grad_rad
mesa_model_0150_profile_04,0.002286217271276143,806701054.1705792,1.5535958519407258e+26,0.07059057323929807,14702928116217.023,1564547.791374804,0.62046745754301,7.789288789891966e-09,0.3955889931245132,9.818775157374986
mesa_model_0150_profile_04,0.004285643689570179,1512206790.4971962,1.0233438421094817e+27,0.07058755632463923,14701883149349.613,1564503.8024651615,0.6204674899266498,7.786978330776415e-09,0.3955889921238468,9.819581033703614
mesa_model_0150_profile_04,0.006285070107864214,2217712526.823813,3.2276290141408024e+27,0.07058304585808994,14700320923247.998,1564438.035919255,0.6204675383489371,7.7835251448795e-09,0.395588990618458,9.820867897490198
mesa_model_0150_profile_04,0.00828449652615825,2923218263.1504297,7.391349305235475e+27,0.07057682810156839,14698167483344.441,1564347.374203485,0.6204676051134258,7.778766968727795e-09,0.3955889885252999,9.82264075178106
mesa_model_0150_profile_04,0.010283922944452286,3628723999.477047,1.4137292792856717e+28,0.0705689323337554,14695433087889.46,1564232.2428619715,0.620467689919441,7.772728338546521e-09,0.3955889858360728,9.824901719415719
mesa_model_0150_profile_04,0.012283349362746322,4334229735.803663,2.408779999625472e+28,0.07055920356440802,14692064172056.162,1564090.3795420523,0.620467794446174,7.765292831956286e-09,0.39558898248014696,9.827645291429098
mesa_model_0150_profile_04,0.014282775781040358,5039735472.1302805,3.7864718859213375e+28,0.07054601477592362,14687497587424.176,1563898.0455617134,0.6204679362213099,7.755222896297125e-09,0.39558897784725383,9.830858978084816
mesa_model_0150_profile_04,0.016282202199334392,5745241208.456897,5.608921672405022e+28,0.07053080194386568,14682230810363.814,1563676.180209412,0.620468099838348,7.743619691916666e-09,0.39558897240146795,9.834548043142304
mesa_model_0150_profile_04,0.01828162861762843,6450746944.783514,7.938154483104199e+28,0.07051728545131704,14677552145163.371,1563479.0534810643,0.6204682452942425,7.733324261012476e-09,0.395588967444113,9.838731237156283
mesa_model_0150_profile_04,0.020281055035922466,7156252681.110131,1.0836117400714026e+29,0.07050148227023365,14672082743555.094,1563248.5661435137,0.6204684154531364,7.721301501896668e-09,0.3955889615268969,9.843407159518929
mesa_model_0150_profile_04,0.0222804814542165,7861758417.436748,1.4364648450809886e+29,0.07048349801167407,14665859455893.049,1562986.2561104265,0.6204686092124599,7.707636984047331e-09,0.3955889546462132,9.848576474309299
mesa_model_0150_profile_04,0.024279907872510536,8567264153.763365,1.8585487952973922e+29,0.07046398054773993,14659106926969.443,1562701.5688460642,0.6204688196438086,7.692830972024757e-09,0.39558894698337876,9.854240018132163
mesa_model_0150_profile_04,0.026279334290804576,9272769890.089983,2.3560223813670042e+29,0.07044281243279149,14651784884853.422,1562392.7828406168,0.6204690480600284,7.676801322572498e-09,0.3955889384351483,9.860397504040963
mesa_model_0150_profile_04,0.02827876070909861,9978275626.4166,2.935039466200686e+29,0.07041981377975728,14643831442235.445,1562057.266307019,0.6204692964457675,7.65941824780756e-09,0.39558892887640956,9.867048737620264
