star_id,radius_fraction,radius_cm,mass_enclosed_g,density_g_cm3,pressure_dyn_cm2,temperature_k,mean_molecular_weight,epsilon_erg_g_s,grad_ad,grad_rad
mesa_model_0244_profile_06,0.0012716861240286066,78443848.57813275,1.5535957491056204e+26,76.77288751871656,1.4076004433758253e+17,13618757.454216732,0.6203823587027757,32.609963088441404,0.3966397882735359,0.7742391595935053
mesa_model_0244_profile_06,0.0032731456708742406,201903707.62782174,2.6488778873789403e+27,76.76465375070966,1.407349094384369e+17,13617792.8418854,0.6203823613308433,32.573023042419806,0.39663982211496274,0.7738073564344432
mesa_model_0244_profile_06,0.005274605217719874,325363566.67751074,1.1083427079710828e+28,76.74969576144711,1.4068925270319034e+17,13616040.408571605,0.620382366371294,32.50602357528383,0.3966398835450203,0.7729768125647888
mesa_model_0244_profile_06,0.0072760647645655095,448823425.7271998,2.908731511834809e+28,76.7271560037475,1.4062046531351557e+17,13613399.549801024,0.6203823746018786,32.40532023263162,0.3966399759968185,0.7717681854379106
mesa_model_0244_profile_06,0.009277524311411144,572283284.7768888,6.028283023142042e+28,76.69364566164282,1.4051822128558232e+17,13609472.72716207,0.6203823882862249,32.25617478722031,0.39664011318772396,0.7702170271945513
mesa_model_0244_profile_06,0.011278983858256778,695743143.8265778,1.0828315357594126e+29,76.6598832948283,1.4041524336578122e+17,13605516.145236304,0.6203824038848834,32.10663999338613,0.3966402510670796,0.768270403625584
mesa_model_0244_profile_06,0.013280443405102411,819203002.8762668,1.7669029156538776e+29,76.61743533878547,1.4028581706423026e+17,13600541.230989775,0.620382425840974,31.919571566071486,0.3966404239726945,0.76593804372435
mesa_model_0244_profile_06,0.015281902951948045,942662861.9259558,2.6909271788462256e+29,76.56826490012801,1.4013596022737475e+17,13594777.611205902,0.620382454940541,31.704320650458612,0.3966406235571421,0.7632304029734731
mesa_model_0244_profile_06,0.01728336249879368,1066122720.9756448,3.890631675502723e+29,76.51173825261702,1.399637684729848e+17,13588150.664282067,0.6203824930578866,31.458687027624745,0.3966408520910495,0.7601572652993344
mesa_model_0244_profile_06,0.019284822045639315,1189582580.025334,5.4015448550619024e+29,76.4488695985815,1.3977235926491738e+17,13580779.688880332,0.6203825406826913,31.187554477096956,0.39664110521663726,0.756718363560084
mesa_model_0244_profile_06,0.021286281592484944,1313042439.0750227,7.259007367677545e+29,76.3793233716955,1.3956075217695509e+17,13572624.435861455,0.6203826005732481,30.890390368893648,0.39664138376929164,0.7529279277462231
mesa_model_0244_profile_06,0.023287741139330582,1436502298.124712,9.498142312250135e+29,76.30061195489152,1.3932142939456224e+17,13563390.45685747,0.6203826788231087,30.557930278432693,0.3966416969225563,0.7488216802498532
