Normalized_Radius,Density,Pressure,Temperature,Mass_Enclosed
0.0009044376829980646,149.22364790760176,2.2984441820360496e+17,15633067.932711009,1.5535956997635762e+26
0.0029066331986633987,149.14807881451082,2.2974467852495277e+17,15630804.954109041,5.154863386151802e+27
0.004908828714328733,148.99564970850568,2.2954346645932157e+17,15626237.912563726,2.4811815831353743e+28
0.006911024229994068,148.74283357047642,2.2920964686657162e+17,15618655.160342544,6.916338557939807e+28
0.008913219745659402,148.44777863948502,2.288197463698938e+17,15609790.348073835,1.481527713058809e+29
0.010915415261324737,148.07316663857225,2.283242365521879e+17,15598511.550403936,2.7159270653722623e+29
0.012917610776990072,147.62219632137018,2.277268536005876e+17,15584895.454501672,4.4912918812251894e+29
0.014919806292655408,147.10627425228603,2.2704051094830637e+17,15569229.318869613,6.90212538929811e+29
0.01692200180832074,146.5009715821046,2.2623397094541597e+17,15550777.982508235,1.00406704558707e+30
0.018924197323986074,145.7968465713743,2.2529555522742678e+17,15529258.354365684,1.399683565714361e+30
0.02092639283965141,145.05133947769963,2.2429843092156106e+17,15506348.811394762,1.8856925267053174e+30
0.022928588355316745,144.28934276186442,2.232735211901353e+17,15482747.234717637,2.4704242182411383e+30
0.02493078387098208,143.47653336956242,2.22175273724779e+17,15457378.003289647,3.1618524250214735e+30
0.02693297938664741,142.57719992501944,2.2095639403545462e+17,15429125.414832247,3.967864798922585e+30
0.02893517490231275,141.59070994200894,2.196154651493298e+17,15397941.312221479,4.8956815425302586e+30
0.030937370417978078,140.53858847789357,2.1818004857893274e+17,15364451.852104468,5.952101264789825e+30
0.03293956593364342,139.44202319554893,2.1667722201508246e+17,15329271.061790792,7.143898856806496e+30
0.03494176144930875,138.30191842542396,2.151062772413577e+17,15292340.64881013,8.477344004263174e+30
0.03694395696497409,137.0960224630004,2.1343478485143997e+17,15252834.78111806,9.958129635819896e+30
0.03894615248063942,135.8008199378789,2.116285843574402e+17,15209885.740674835,1.159191720548345e+31
0.04094834799630475,134.40127432536556,2.0966540294104573e+17,15162916.030676961,1.3384179863746493e+31
0.042950543511970085,132.93301466432848,2.0759400286341658e+17,15113082.378884373,1.533926554854401e+31
0.04495273902763543,131.45040830836885,2.0548941822762432e+17,15062182.904238774,1.7461106045585142e+31
0.046954934543300755,130.00430372599175,2.0342179998527533e+17,15011898.240679165,1.9753596310983891e+31
0.04895713005896609,128.59996276729314,2.0139803304925222e+17,14962386.695600325,2.2220166843475877e+31
0.05095932557463143,127.2110414018528,1.9938113904688595e+17,14912751.124763582,2.4863926126588728e+31
0.05296152109029676,125.81056081163531,1.973332586343091e+17,14862073.18573503,2.768797617634271e+31
0.054963716605962096,124.36921726671568,1.952124185948858e+17,14809311.725197883,3.069534484540855e+31
0.05696591212162743,122.83738357387115,1.929406838578594e+17,14752352.02550715,3.3888411679689457e+31
0.058968107637292766,121.15493064837743,1.9042153652115958e+17,14688524.618288128,3.726922122080156e+31
0.0609703031529581,119.26210550165536,1.8755902176533837e+17,14615174.414324204,4.083981267980639e+31
0.06297249866862344,117.19508008978713,1.8440575042194605e+17,14533578.985832999,4.460170305900389e+31
0.06497469418428876,115.20285875628954,1.8134396168254486e+17,14453741.453167552,4.855525071590225e+31
0.0669768896999541,113.48105102651344,1.7867461233596723e+17,14383550.494020244,5.270071257280244e+31
0.06897908521561945,111.89844725235793,1.7619812604466896e+17,14317793.380780281,5.7038562101026055e+31
0.07098128073128476,110.27728006917864,1.736434563773831e+17,14249381.447719937,6.156923436284757e+31
0.0729834762469501,108.62151039777194,1.710170154623113e+17,14178461.278429857,6.629268279335754e+31
0.07498567176261543,106.98401780054199,1.6839993071297258e+17,14107128.338983217,7.120866065450007e+31
0.07698786727828077,105.36543889857853,1.6579370770429936e+17,14035404.60356987,7.631669590512571e+31
0.07899006279394612,103.75328647627391,1.6317987735546874e+17,13962792.224774772,8.161618086076942e+31
0.08099225830961143,102.14986094585174,1.605626165847052e+17,13889384.524648502,8.710625337707588e+31
0.08299445382527677,100.55953215986368,1.579493189278534e+17,13815361.333421638,9.278590841937908e+31
