star_id,n_global,K,rho_c,alpha,reduced_chi2,success,message
mesa_model_0001_profile_01,1.9229148308625044,1744360476375918.0,0.000583963197371237,465495000209.88385,72.67432450131349,True,`ftol` termination condition is satisfied.
mesa_model_0050_profile_02,1.92202323817645,1747774132596889.8,0.0005849447152895957,465273515258.5794,57.50686794821636,True,`ftol` termination condition is satisfied.
mesa_model_0100_profile_03,1.8001069448789084,1800563209687020.0,0.0019668451785338523,309679721362.3277,50.213011407513534,True,`ftol` termination condition is satisfied.
mesa_model_0150_profile_04,1.6404764909173741,968050080539833.6,0.0776546560240926,90914516835.4401,17.512786942419446,True,Both `ftol` and `xtol` termination conditions are satisfied.
mesa_model_0200_profile_05,1.6479071176715514,340577924011850.44,3.9519057497594132,25028147182.168545,12.918506130929618,True,`xtol` termination condition is satisfied.
mesa_model_0244_profile_06,2.7640350004363943,351749413598964.94,67.70835514754148,10350672093.82757,140.06639182474171,True,Both `ftol` and `xtol` termination conditions are satisfied.
mesa_model_0250_profile_07,2.775503716257796,354092067496436.6,68.74188654872702,10318055185.65519,142.2493228427098,True,Both `ftol` and `xtol` termination conditions are satisfied.
mesa_model_0295_profile_08,3.0845517319770006,400459024260362.44,82.84880235384054,9927751572.765968,203.41705520488594,True,`ftol` termination condition is satisfied.
