star_id,n_core,n_rad,n_conv,chi2_piecewise,continuity_errors,beats_global,success,message
mesa_model_0001_profile_01,1.7380100963794523,1.4721728196429358,3.2371786843855284,0.0712532544991275,"{'core_rad': 3.4919361989275357e-15, 'rad_conv': 3.470273643870571e-15}",True,True,Optimization terminated successfully
mesa_model_0050_profile_02,1.5647503146960438,1.5250398029423107,2.797126636087424,0.04874655422020116,"{'core_rad': 1.2790455830523362e-13, 'rad_conv': 7.232735249658082e-15}",True,True,Optimization terminated successfully
mesa_model_0100_profile_03,2.1895661858391127,1.3372708543000114,2.694357161371065,0.04104467228185832,"{'core_rad': 6.537576198094537e-13, 'rad_conv': 2.13581881210267e-14}",True,True,Optimization terminated successfully
mesa_model_0150_profile_04,4.84412480480942,1.1623548318224761,2.3302668940561633,0.0564969753508214,"{'core_rad': 7.055740824395116e-15, 'rad_conv': 1.0662270265606058e-14}",True,True,Optimization terminated successfully
mesa_model_0200_profile_05,-6.0787479480284246,1.2574557132223851,2.0055802420254722,0.04361012796046669,"{'core_rad': 3.544868542987604e-14, 'rad_conv': 0.0}",True,True,Optimization terminated successfully
mesa_model_0244_profile_06,2.2429064590186885,3.2000939991958495,1.9214930137406494,0.03779993614209374,"{'core_rad': 1.4223615450162545e-13, 'rad_conv': 0.0}",True,True,Optimization terminated successfully
mesa_model_0250_profile_07,2.3878969289879657,3.1911720058419455,1.9211539817455356,0.037817996440630615,"{'core_rad': 2.8390008375132474e-14, 'rad_conv': 1.425440558906761e-14}",True,True,Optimization terminated successfully
mesa_model_0295_profile_08,5.704721795737444,3.2135806313569923,1.9080099733907243,0.03771534491789864,"{'core_rad': 0.0, 'rad_conv': 0.0}",True,True,Optimization terminated successfully
