star_id,n_global_observed,n_base,delta_n_observed,delta_n_theory,delta_global,status
mesa_model_0001_profile_01,1.9228439547559029,1.5,0.42284395475590286,1.016630504684927,-0.5937865499290242,Normal
mesa_model_0050_profile_02,1.9220220535000756,1.5,0.4220220535000756,1.3307868400724578,-0.9087647865723822,Normal
mesa_model_0100_profile_03,1.788969555792115,1.5,0.28896955579211503,1.3446436260373409,-1.0556740702452259,Normal
mesa_model_0150_profile_04,1.6404761941519033,1.5,0.14047619415190327,1.2408324693050654,-1.1003562751531621,Normal
mesa_model_0200_profile_05,1.6651467963161541,1.5,0.16514679631615414,0.43325317398247304,-0.2681063776663189,Normal
mesa_model_0244_profile_06,2.7640352167049898,1.5,1.2640352167049898,0.3021105095252447,0.961924707179745,Anomaly
mesa_model_0250_profile_07,2.775503598735271,1.5,1.2755035987352712,0.2507240579046172,1.024779540830654,Anomaly
mesa_model_0295_profile_08,3.084543245228681,1.5,1.584543245228681,0.3052720415729437,1.2792712036557372,Anomaly
