star_id,driver,delta_n,absolute_contribution_percent
mesa_model_0001_profile_01,delta_n_rad,7.91700970245691e-06,0.0007787499652993927
mesa_model_0001_profile_01,delta_n_mu,0.005444519109316484,0.535545518674343
mesa_model_0001_profile_01,delta_n_conv,0.897753858327173,88.30679919499404
mesa_model_0001_profile_01,delta_n_nuc,0.11199300147368631,11.016096896324692
mesa_model_0001_profile_01,delta_n_deg,0.0014312087650487863,0.14077964004162405
mesa_model_0050_profile_02,delta_n_rad,8.026851436213864e-06,0.0006031658259993631
mesa_model_0050_profile_02,delta_n_mu,0.005566056713006983,0.41825306242913596
mesa_model_0050_profile_02,delta_n_conv,1.2159092578876107,91.3676947557888
mesa_model_0050_profile_02,delta_n_nuc,0.10787184807084374,8.10586976235581
mesa_model_0050_profile_02,delta_n_deg,0.0014316505495602652,0.10757925360024717
mesa_model_0100_profile_03,delta_n_rad,1.0607785449515407e-05,0.0007888919594834586
mesa_model_0100_profile_03,delta_n_mu,0.003813892518739835,0.2836359348223262
mesa_model_0100_profile_03,delta_n_conv,1.253408707653733,93.21493690841514
mesa_model_0100_profile_03,delta_n_nuc,0.08521512794161643,6.337376409000282
mesa_model_0100_profile_03,delta_n_deg,0.0021952901378020162,0.16326185580275474
mesa_model_0150_profile_04,delta_n_rad,3.353049089415946e-05,0.002702257695830476
mesa_model_0150_profile_04,delta_n_mu,0.0011959339123263398,0.09638157784476166
mesa_model_0150_profile_04,delta_n_conv,1.1846174199176596,95.46956976239593
mesa_model_0150_profile_04,delta_n_nuc,0.04732518337557086,3.813986540993368
mesa_model_0150_profile_04,delta_n_deg,0.007660401608614582,0.6173598610701112
mesa_model_0200_profile_05,delta_n_rad,0.0004630082605744445,0.10686782887669628
mesa_model_0200_profile_05,delta_n_mu,0.0004840101827900463,0.11171532301564317
mesa_model_0200_profile_05,delta_n_conv,0.3745122644647357,86.44189747583623
mesa_model_0200_profile_05,delta_n_nuc,0.03017782125038808,6.965401077848514
mesa_model_0200_profile_05,delta_n_deg,0.027616069823984766,6.374118294422918
mesa_model_0244_profile_06,delta_n_rad,0.009267747851049205,3.0676681409107953
mesa_model_0244_profile_06,delta_n_mu,0.00010312067714357995,0.034133429289047314
mesa_model_0244_profile_06,delta_n_conv,0.024379586946734172,8.069757978643567
mesa_model_0244_profile_06,delta_n_nuc,0.20377192017297038,67.44946426828722
mesa_model_0244_profile_06,delta_n_deg,0.0645881338773474,21.37897618286938
mesa_model_0250_profile_07,delta_n_rad,0.009368378377324588,3.736529496060005
mesa_model_0250_profile_07,delta_n_mu,0.00015397441244236024,0.06141190188495458
mesa_model_0250_profile_07,delta_n_conv,0.013724245125536464,5.473844528616225
mesa_model_0250_profile_07,delta_n_nuc,0.1627737434947885,64.92146978440832
mesa_model_0250_profile_07,delta_n_deg,0.06470371649452532,25.806744289030497
mesa_model_0295_profile_08,delta_n_rad,0.010773797387353309,3.5292447129584086
mesa_model_0295_profile_08,delta_n_mu,0.005860357092904096,1.919716284107788
mesa_model_0295_profile_08,delta_n_conv,0.005914590288928462,1.9374818140740842
mesa_model_0295_profile_08,delta_n_nuc,0.21853980012358656,71.58854082985758
mesa_model_0295_profile_08,delta_n_deg,0.06418349668017127,21.025016359002155
