star_id,delta_n_rad,delta_n_mu,delta_n_conv,delta_n_nuc,delta_n_deg
mesa_model_0001_profile_01,7.91700970245691e-06,0.005444519109316484,0.897753858327173,0.11199300147368631,0.0014312087650487863
mesa_model_0050_profile_02,8.026851436213864e-06,0.005566056713006983,1.2159092578876107,0.10787184807084374,0.0014316505495602652
mesa_model_0100_profile_03,1.0607785449515407e-05,0.003813892518739835,1.253408707653733,0.08521512794161643,0.0021952901378020162
mesa_model_0150_profile_04,3.353049089415946e-05,0.0011959339123263398,1.1846174199176596,0.04732518337557086,0.007660401608614582
mesa_model_0200_profile_05,0.0004630082605744445,0.0004840101827900463,0.3745122644647357,0.03017782125038808,0.027616069823984766
mesa_model_0244_profile_06,0.009267747851049205,0.00010312067714357995,0.024379586946734172,0.20377192017297038,0.0645881338773474
mesa_model_0250_profile_07,0.009368378377324588,0.00015397441244236024,0.013724245125536464,0.1627737434947885,0.06470371649452532
mesa_model_0295_profile_08,0.010773797387353309,0.005860357092904096,0.005914590288928462,0.21853980012358656,0.06418349668017127
