star_id,sample_location,assumed_relative_input_uncertainty,beta,temperature_k,density_g_cm3,delta_n_rad,sigma_delta_n_rad,partial_beta,partial_T,partial_rho,finite_difference_partial_beta,finite_difference_partial_T,finite_difference_partial_rho,derivative_max_relative_error
mesa_model_0001_profile_01,innermost_processed_layer,0.01,0.9996557950981099,299957.65104479465,0.0005141195114148643,0.0005300341578485029,0.015398797488176354,-1.5404099654325407,3.97309196290692e-11,-2.582424320067986e-08,-1.5404099655856902,3.9730919637146344e-11,-2.5812353541497764e-08,0.00046040687774287357
mesa_model_0050_profile_02,innermost_processed_layer,0.01,0.9996548973970532,299999.0984819847,0.0005142300004992893,0.0005314186377559146,0.015398859157656616,-1.5404175178143167,3.98333053004788e-11,-2.5891617175843744e-08,-1.5404175179627304,3.9833305315726013e-11,-2.58911433895238e-08,1.829883072678899e-05
mesa_model_0100_profile_03,innermost_processed_layer,0.01,0.999570883291426,455722.9522059825,0.0017506740221578843,0.0006681318823588096,0.01556993398451024,-1.5576618170325136,4.4235848049763924e-11,-3.2197513290818706e-08,-1.5576618171807826,4.423584803764814e-11,-3.2200793091622054e-08,0.00010186503453616362
mesa_model_0150_profile_04,innermost_processed_layer,0.01,0.999305316277265,1564547.791374804,0.07059057323929807,0.001140950617088831,0.016424029822561158,-1.6435447247920267,4.0660188476010955e-11,-5.21338181204123e-08,-1.6435447249506627,4.066018847964725e-11,-5.2134050161659955e-08,4.450877683994584e-06
mesa_model_0200_profile_05,innermost_processed_layer,0.01,0.9984995584351739,5283990.638838093,3.9585614861170995,0.0026678936926293655,0.017780723823761963,-1.780744275000884,3.586963346553265e-11,-1.1225784089250864e-07,-1.7807442751796505,3.5869633464528614e-11,-1.1225783930610112e-07,1.4131819252970534e-08
mesa_model_0244_profile_06,innermost_processed_layer,0.01,0.9883073464925912,13618757.454216732,76.77288751871656,0.022440998733788516,0.019192398934671517,-1.9419456783062874,1.2139529506604794e-10,-8.240588127841308e-07,-1.9419456785042348,1.21395295077893e-10,-8.240588127020411e-07,1.0193253005552227e-10
mesa_model_0250_profile_07,innermost_processed_layer,0.01,0.987999676994768,13573058.726664934,79.17296995190758,0.023030929741275533,0.019191932373396163,-1.9425031512588966,1.2501918898707943e-10,-8.441241736947518e-07,-1.9425031514508355,1.2501918898010542e-10,-8.441241739219883e-07,2.6919794558258766e-10
mesa_model_0295_profile_08,innermost_processed_layer,0.01,0.9845952236563755,15633067.932711009,149.22364790760176,0.029903457206281923,0.01941182133180772,-1.9715521945938979,1.4109660707400012e-10,-1.0210673330686482e-06,-1.9715521947822137,1.4109660707920755e-10,-1.0210673326733793e-06,3.871135338739004e-10
