star_id,radius_fraction,beta,density_g_cm3,temperature_k,mean_molecular_weight,grad_ad,grad_rad,epsilon_erg_g_s,delta_n_rad,delta_n_mu,delta_n_conv,delta_n_nuc_global,delta_n_deg
mesa_model_0001_profile_01,0.0020349025964138596,0.9996557950981099,0.0005141195114148643,299957.65104479465,0.6213202530989781,0.39558730902368666,54847.37241278405,8.773335400613011e-20,0.0005300341578485029,1.5837517963745995e-09,131364.8845678258,0.11199300147368631,0.0015196197148225345
mesa_model_0001_profile_01,0.0040348326513308655,0.9996560189593566,0.0005140939674367651,299947.68827881326,0.6213202847865826,0.3955871916910783,48785.95327293639,8.768193724801412e-20,0.0005296889242571531,1.207929353874704e-07,116612.91869923407,0.11199300147368631,0.001519619852148293
mesa_model_0001_profile_01,0.006034762706247872,0.9996563642650934,0.000514054160507264,299932.2448070617,0.6213203338045384,0.3955870098162226,41444.69705672314,8.760225400248494e-20,0.0005291564001026024,2.4477312150494867e-07,98866.06786756175,0.11199300147368631,0.0015196196480973332
mesa_model_0001_profile_01,0.008034692761164877,0.9996568445454647,0.0005139984458747322,299910.7007833965,0.6213204021265432,0.39558675604601107,33833.54332617789,8.74911732401236e-20,0.0005284157206638536,4.20270335332873e-07,80547.14110126198,0.11199300147368631,0.001519618999363837
mesa_model_0001_profile_01,0.010034622816081884,0.9996574599925303,0.0005139270046502846,299883.07680478797,0.6213204898160286,0.3955864304879721,26319.958185777676,8.734893802701713e-20,0.0005274665935166439,6.729875519084771e-07,62533.093718348355,0.11199300147368631,0.0015196181550560237
mesa_model_0001_profile_01,0.01203455287099889,0.9996582576942976,0.0005138330968137597,299847.0556146144,0.6213206038524477,0.39558600590019577,19377.53082155725,8.71636408352042e-20,0.0005262363966963036,1.0664105925428657e-06,45945.45618496947,0.11199300147368631,0.0015196155659107972
mesa_model_0001_profile_01,0.014034482925915897,0.9996593248984263,0.0005137056940856178,299798.51213636325,0.6213207572885814,0.3955854334307535,13220.87360802728,8.691435979676701e-20,0.0005245905792179568,1.3055195633882024e-06,31283.845078831935,0.11199300147368631,0.0015196103833919417
mesa_model_0001_profile_01,0.016034412980832906,0.9996602767125149,0.0005135931443785029,299755.39469669265,0.6213208941978058,0.3955849242863528,7635.222081698843,8.669361541460601e-20,0.0005231227335364923,2.10155659381428e-06,18029.775685651843,0.11199300147368631,0.0015196069691854948
mesa_model_0001_profile_01,0.018034343035749908,0.9996623184781721,0.0005134929877805409,299689.1024488066,0.6213211487338786,0.3955841208027421,2288.4659874197196,8.63679368371939e-20,0.0005199750752980768,9.488144453229097e-07,5392.335736214106,0.11199300147368631,0.0015197455006744512
mesa_model_0001_profile_01,0.020034273090666913,0.9996612220516218,0.0005132707915346438,299673.1306446681,0.621321091804937,0.39558398050555843,-386.73114556791916,8.625542335730037e-20,0.0005216633427972662,5.0299756473748404e-06,0.0,0.11199300147368631,0.0015193880328258117
mesa_model_0001_profile_01,0.02203420314558392,0.9996540973628653,0.0005128472806924724,299758.8648452126,0.6213204303806673,0.39558516185504533,105.55563768492789,8.658214236051035e-20,0.0005326414330781344,1.2386628034022351e-05,246.82304295115003,0.11199300147368631,0.001518117809261931
mesa_model_0001_profile_01,0.024034133200500928,0.999643338061566,0.0005122883736963117,299907.5526803085,0.6213193828918829,0.395587143089489,-194.0524560438624,8.718220939180794e-20,0.0005492212776964689,1.7246918668334388e-05,0.0,0.11199300147368631,0.0015162625298950937
mesa_model_0001_profile_01,0.026034063255417933,0.9996316972839457,0.0005116731439272549,300072.91003648954,0.6213182138446852,0.39558931509781187,-3330.324965176161,8.785518317746657e-20,0.0005671604656994878,1.8328524107857904e-05,0.0,0.11199300147368631,0.0015142134439051773
mesa_model_0001_profile_01,0.02803399331033494,0.9996210546903894,0.0005110807001100099,300210.5012960617,0.6213171870895078,0.3955911261572903,-4521.366700725206,8.840334107917391e-20,0.0005835615472262463,1.462432571024408e-05,0.0,0.11199300147368631,0.0015123509384544337
mesa_model_0001_profile_01,0.030033923365251947,0.9996138967505579,0.0005105899762288576,300276.3275195951,0.6213165657703807,0.39559203627093376,2249.9223763838386,8.862989636166992e-20,0.0005945916966074675,6.439577550665377e-06,5236.715206316139,0.11199300147368631,0.0015110513848643698
mesa_model_0001_profile_01,0.03203385342016895,0.9996120026128255,0.0005102404911718881,300247.72449574515,0.6213164855069389,0.39559176946652197,19686.054372373117,8.843331423180246e-20,0.0005975084843137455,2.6250456876653064e-06,45732.1230545912,0.11199300147368631,0.0015105056744921927
mesa_model_0001_profile_01,0.03403378347508596,0.9996141503580208,0.0005099833284791331,300149.89657842147,0.6213167957933111,0.3955906421621797,43052.62595125927,8.792577594604992e-20,0.0005941953650840548,9.136498690054395e-06,99808.80017857044,0.11199300147368631,0.0015104902530017929
mesa_model_0001_profile_01,0.03603371353000297,0.9996183529749757,0.0005097575287049132,300014.56678697653,0.6213173071595088,0.3955890514468113,66602.4864043484,8.72485662742292e-20,0.0005877150452572681,1.205615652182246e-05,154085.2083704623,0.11199300147368631,0.0015107255114179018
mesa_model_0001_profile_01,0.03803364358491997,0.9996225712389804,0.0005095034129713884,299872.86293791863,0.6213178337784013,0.3955873869170315,84672.95500429776,8.654035178516573e-20,0.0005812105285448961,1.1995396187813868e-05,195485.16832950021,0.11199300147368631,0.0015109370527461965
mesa_model_0001_profile_01,0.04003357363983698,0.9996258875749262,0.0005091965705471966,299739.5203533847,0.6213182901509006,0.3955858318241476,93927.74060180825,8.586769111771508e-20,0.0005760959624617176,1.1154828759174508e-05,216401.0345579639,0.11199300147368631,0.001511002250378934
mesa_model_0001_profile_01,0.04203350369475398,0.9996285879620174,0.000508851428149168,299611.2228638828,0.6213187012596287,0.39558434219104677,93592.38315409496,8.521773732029931e-20,0.0005719305880012424,1.0922483309627752e-05,215179.17219465648,0.11199300147368631,0.0015109661226824736
mesa_model_0001_profile_01,0.044033433749670996,0.999630994599235,0.0005084844090027511,299483.72633064707,0.6213190977667186,0.39558286235953266,83024.11813696598,8.457356145467684e-20,0.0005682178510822883,1.1478113069074426e-05,190482.9671216794,0.11199300147368631,0.0015108824333126768
mesa_model_0001_profile_01,0.046033363804588,0.99963341149588,0.00050811174825596,299352.8260455291,0.6213195100279486,0.39558133719717625,61654.23447203406,8.39183863019813e-20,0.0005644892545521423,1.2726382409056215e-05,141157.69270822068,0.11199300147368631,0.0015108044929715517
mesa_model_0001_profile_01,0.04803329385950501,0.9996360245675335,0.000507741393575388,299216.0547789331,0.6213199548998365,0.39557973473908653,32177.126826150336,8.324212003603433e-20,0.0005604583164829005,1.426005237377126e-05,73514.82446164367,0.11199300147368631,0.0015107605204416558
mesa_model_0001_profile_01,0.05003322391442201,0.9996388765936005,0.0005073699255730461,299073.32841532934,0.6213204307234038,0.39557805479681424,1762.8440765205414,8.254384047095351e-20,0.0005560591569704846,1.5799629237989166e-05,4018.2420434504907,0.11199300147368631,0.001510744200099602
mesa_model_0001_profile_01,0.05203315396933902,0.999642014637061,0.0005069931015277145,298924.7354518019,0.6213209344985663,0.39557629948352624,-22094.386387390063,8.182328959199426e-20,0.0005512193109473674,1.7314512590616004e-05,0.0,0.11199300147368631,0.0015107466931803476
mesa_model_0001_profile_01,0.05403308402425602,0.9996455028424716,0.0005066066787181729,298770.36438543495,0.6213214632252396,0.3955744709123896,-31900.33717611617,8.108020938441191e-20,0.0005458400092289751,1.8793117337168042e-05,0.0,0.11199300147368631,0.0015107591374710256
