star_id,radius_fraction,radius_cm,mass_enclosed_g,density_g_cm3,pressure_dyn_cm2,temperature_k,mean_molecular_weight,epsilon_erg_g_s,grad_ad,grad_rad
mesa_model_0050_profile_02,0.002065652573127848,4161428092.204705,1.5535958941986846e+26,0.0005142300004992893,20502052402.920338,299999.0984819847,0.6213201239495812,8.794828835522323e-20,0.39558779583538733,0.39587383221747513
mesa_model_0050_profile_02,0.004065521004845026,8190328586.279295,1.1844063846248371e+27,0.0005142047691094304,20500379123.972336,299989.4124837222,0.6213201544656151,8.789811795862554e-20,0.39558768195947197,0.3958556056770193
mesa_model_0050_profile_02,0.006065389436562206,12219229080.353886,3.932821239309889e+27,0.000514165734480569,20497790402.228157,299974.425038718,0.6213202017120353,8.782054113373664e-20,0.3955875057088378,0.39578952964151204
mesa_model_0050_profile_02,0.008065257868279383,16248129574.428474,9.245901705911879e+27,0.0005141112503389848,20494178239.72464,299953.51852052985,0.6213202676458383,8.771242519730453e-20,0.3955872597691897,0.39587480993726587
mesa_model_0050_profile_02,0.010065126299996563,20277030068.503067,1.7968394013249316e+28,0.0005140415741350014,20489554475.984295,299926.7124731603,0.6213203523795002,8.757401740261318e-20,0.39558694421924645,0.3950593027925824
mesa_model_0050_profile_02,0.012064994731713742,24305930562.577656,3.09442957779969e+28,0.0005139510110287374,20483567756.575798,299892.1938121964,0.6213204611164609,8.739591580682353e-20,0.39558653786726583,0.39834621433600564
mesa_model_0050_profile_02,0.01406486316343092,28334831056.652245,4.901686579026904e+28,0.0005138266684358676,20475319554.078503,299844.3687190762,0.6213206127135367,8.714993861056817e-20,0.39558597406096285,0.3971871399375729
mesa_model_0050_profile_02,0.0160647315951481,32363731550.726837,7.302773390123115e+28,0.0005137126814543055,20467931532.57969,299803.00665148714,0.6213207401836648,8.693655478479402e-20,0.39558548776910496,0.4291422245644736
mesa_model_0050_profile_02,0.01806460002686528,36392632044.80143,1.0382096349314666e+29,0.0005136172491162782,20459682318.047176,299738.5780444772,0.6213209883744494,8.661958047693121e-20,0.39558470719721434,-0.07811879507038563
mesa_model_0050_profile_02,0.020064468458582455,40421532538.876015,1.422247470840116e+29,0.0005134222172974665,20450044097.197514,299711.0761533745,0.6213210021597632,8.645775388194783e-20,0.39558441523908544,-0.7033846728858486
mesa_model_0050_profile_02,0.022064336890299636,44450433032.95061,1.890548105701817e+29,0.0005130304081542371,20439480441.813305,299782.8741636526,0.6213204263825101,8.672542065473404e-20,0.3955854137553113,-0.8596278732056075
mesa_model_0050_profile_02,0.024064205322016818,48479333527.0252,2.451136333036161e+29,0.0005124952644924637,20427934549.269863,299922.8360772839,0.6213194361509681,8.728941613255135e-20,0.39558728173485574,-0.6621111859616367
mesa_model_0050_profile_02,0.026064073753733992,52508234021.099785,3.1120893873038274e+29,0.0005118918559092885,20415308899.48492,300086.7870725358,0.6213182825271495,8.795867257651911e-20,0.39558943440719946,-0.3103149739716824
mesa_model_0050_profile_02,0.028063942185451173,56537134515.17438,3.881826961728116e+29,0.000511297261881584,20401664446.796055,300231.1953372,0.6213172226527441,8.853972620912597e-20,0.3955913279535387,0.06739367229080251
mesa_model_0050_profile_02,0.03006381061716835,60566035009.24897,4.768871779753415e+29,0.0005107891665673573,20387109823.26526,300312.7225113045,0.62131651549854,8.883839239412714e-20,0.39559243087557344,0.3640424023088253
mesa_model_0050_profile_02,0.03206367904888553,64594935503.323555,5.781685046982924e+29,0.0005104229654906574,20371700569.673985,300300.11912906566,0.6213163478409169,8.871456126741614e-20,0.39559236113081336,0.499866512610865
mesa_model_0050_profile_02,0.03406354748060271,68623835997.39815,6.928473549981121e+29,0.0005101619053665521,20355272691.349426,300212.11490469665,0.6213166079800748,8.82516858888058e-20,0.39559135456456385,0.5075687923827685
mesa_model_0050_profile_02,0.036063415912319895,72652736491.47275,8.217378335199001e+29,0.0005099454222975498,20337605467.18137,300080.3538255749,0.621317107092041,8.759098642571528e-20,0.3955898066800467,0.4489128501834703
mesa_model_0050_profile_02,0.038063284344037066,76681636985.54733,9.656540327423815e+29,0.0005097130519981951,20318478903.858585,299936.4330905036,0.6213176566385347,8.687347663411889e-20,0.3955881123927081,0.38556579668249213
mesa_model_0050_profile_02,0.04006315277575425,80710537479.62193,1.1254073889590146e+30,0.0005094260995644888,20297832029.410152,299801.72415667307,0.6213181305194261,8.619505838949355e-20,0.3955865381590041,0.3581042411284639
mesa_model_0050_profile_02,0.04206302120747143,84739437973.69652,1.3018033730333436e+30,0.0005090947611547003,20275961012.11123,299674.6328599996,0.6213185428621578,8.55503184351966e-20,0.39558506193401727,0.35973840248948236
mesa_model_0050_profile_02,0.044062889639188606,88768338467.7711,1.4956466425677258e+30,0.0005087358981974966,20253210708.81523,299550.43415585527,0.6213189269112591,8.492003132234369e-20,0.3955836223417216,0.3772210863674447
mesa_model_0050_profile_02,0.04606275807090579,92797238961.8457,1.7077418546255036e+30,0.000508366371622984,20229925964.481888,299424.4031146503,0.6213193159103974,8.428497205756683e-20,0.3955821580076044,0.3973054619306213
mesa_model_0050_profile_02,0.04806262650262297,96826139455.92029,1.938889266030557e+30,0.000507998972369635,20206354530.255474,299292.7539196648,0.6213197360628836,8.36296342501345e-20,0.3955806199108149,0.40971266851330995
mesa_model_0050_profile_02,0.05006249493434014,100855039949.99487,2.1898740794562282e+30,0.0005076325670730987,20182411978.78689,299154.91365807696,0.6213201894854827,8.2951233636004e-20,0.39557900129499385,0.41431789958034776
mesa_model_0050_profile_02,0.052062363366057324,104883940444.06947,2.4614782808607208e+30,0.0005072630470755616,20157942904.0567,299010.99593847187,0.6213206731482349,8.224970436805102e-20,0.3955773044347023,0.41316602928076757
mesa_model_0050_profile_02,0.0540622317977745,108912840938.14406,2.754483856202237e+30,0.0005068863037192095,20132791900.04549,298861.1143694346,0.6213211840211808,8.152498059915125e-20,0.39557553160450115,0.40830193176360274
mesa_model_0050_profile_02,0.05606210022949168,112941741432.21864,3.0696727914389807e+30,0.0005064982283462289,20106803560.733814,298705.3825595502,0.6213217190743606,8.077699648218038e-20,0.39557368507895146,0.40177048117788644
mesa_model_0050_profile_02,0.058061968661208864,116970641926.29324,3.4078270725291545e+30,0.0005060947122988062,20079822480.102234,298543.91411740397,0.6213222752778147,8.000568617001406e-20,0.39557176713261405,0.3956165516726517
mesa_model_0050_profile_02,0.060061837092926035,120999542420.36783,3.7697244173536306e+30,0.0005056720087261985,20051696222.472904,298376.63245210884,0.6213228509596157,7.92106696911285e-20,0.3955697771102469,0.39148774977503936
mesa_model_0050_profile_02,0.06206170552464321,125028442914.44241,4.1561249716761065e+30,0.0005052278603749139,20022284581.372364,298202.67790181906,0.6213234500389955,7.839027379125724e-20,0.39556770229430427,0.3893960899970583
mesa_model_0050_profile_02,0.0640615739563604,129057343408.51701,4.567784359642583e+30,0.0005047603932912769,19991450497.118557,298020.9893066293,0.6213240778738907,7.754249243152498e-20,0.39556552686339597,0.388932719989206
mesa_model_0050_profile_02,0.06606144238807757,133086243902.5916,5.005458205395144e+30,0.0005042677335219432,19959056910.032143,297830.50550646026,0.6213247398222389,7.666531957276875e-20,0.3955632349961288,0.3896887870381225
mesa_model_0050_profile_02,0.06806131081979475,137115144396.66618,5.469902133075881e+30,0.0005037480071135687,19924966760.433792,297630.1653412327,0.621325441241978,7.575674917582561e-20,0.39556081087110967,0.39125543843044824
mesa_model_0050_profile_02,0.07006117925151194,141144044890.74078,5.961871766826884e+30,0.000503199340112809,19889042988.64417,297418.9076508671,0.6213261874910458,7.48147752015325e-20,0.39555823866694567,0.3932238214528237
mesa_model_0050_profile_02,0.07206104768322912,145172945384.81537,6.482122730790237e+30,0.0005026198585663201,19851148534.98393,297195.6712752841,0.6213269839273797,7.38373916107265e-20,0.39555550256224364,0.3951850833918892
mesa_model_0050_profile_02,0.07406091611494629,149201845878.88995,7.031404804410553e+30,0.0005020087028836998,19811212737.816833,296959.81435614696,0.6213278341310448,7.282386602618632e-20,0.3955525924510321,0.39676678086615674
mesa_model_0050_profile_02,0.07606078454666346,153230746372.96454,7.610424142599939e+30,0.0005013725846293081,19769660527.21174,296713.82468255947,0.6213287284121481,7.178297262034313e-20,0.39554954088696354,0.39786822794399046
mesa_model_0050_profile_02,0.07806065297838065,157259646867.03915,8.21986717865878e+30,0.000500721638106178,19727140878.439163,296461.6048826644,0.6213296510817663,7.072778325021787e-20,0.39554639970909017,0.39851159376179435
mesa_model_0050_profile_02,0.08006052141009783,161288547361.11374,8.860420249182039e+30,0.0005000660144008263,19684303865.380787,296207.06452230277,0.6213305864215588,6.967139084663383e-20,0.39554322085103033,0.398719649878829
mesa_model_0050_profile_02,0.082060389841815,165317447855.18832,9.532769690764694e+30,0.0004994158645997696,19641799561.9183,295954.11316731543,0.6213315187131855,6.862688834041437e-20,0.3955400562464026,0.39851516785435526
mesa_model_0050_profile_02,0.08406025827353218,169346348349.2629,1.0237601840001716e+31,0.0004987813397895246,19600278041.933395,295706.6603835436,0.6213324322383059,6.760736866238279e-20,0.39553695782882536,0.39792091924763373
mesa_model_0050_profile_02,0.08606012670524936,173375248843.3375,1.0975603033488074e+31,0.0004981725910566085,19560389379.30775,295468.6157368279,0.6213333112785802,6.662592474336243e-20,0.39553397753191727,0.3969596756179254
mesa_model_0050_profile_02,0.08805999513696654,177404149337.41208,1.1747459607818743e+31,0.0004975997694875373,19522783647.923058,295243.8887930096,0.6213341401156677,6.56956495141766e-20,0.39553116728929655,0.39565420852449085
