star_id,radius_fraction,radius_cm,mass_enclosed_g,density_g_cm3,pressure_dyn_cm2,temperature_k,mean_molecular_weight,epsilon_erg_g_s,grad_ad,grad_rad
mesa_model_0001_profile_01,0.0020349025964138596,4161726312.9662576,1.5535960422451916e+26,0.0005141195114148643,20494792677.4313,299957.65104479465,0.6213202530989781,8.773335400613011e-20,0.39558730902368666,54847.37241278405
mesa_model_0001_profile_01,0.0040348326513308655,8251927754.700222,1.2110706853923486e+27,0.0005140939674367651,20493088082.950817,299947.68827881326,0.6213202847865826,8.768193724801412e-20,0.3955871916910783,48785.95327293639
mesa_model_0001_profile_01,0.006034762706247872,12342129196.434187,4.0518097927760865e+27,0.000514054160507264,20490437533.050728,299932.2448070617,0.6213203338045384,8.760225400248494e-20,0.3955870098162226,41444.69705672314
mesa_model_0001_profile_01,0.008034692761164877,16432330638.168152,9.561849432057681e+27,0.0005139984458747322,20486732965.26517,299910.7007833965,0.6213204021265432,8.74911732401236e-20,0.39558675604601107,33833.54332617789
mesa_model_0001_profile_01,0.010034622816081884,20522532079.90212,1.8624868313828915e+28,0.0005139270046502846,20481983274.18035,299883.07680478797,0.6213204898160286,8.734893802701713e-20,0.3955864304879721,26319.958185777676
mesa_model_0001_profile_01,0.01203455287099889,24612733521.63608,3.2123762508105055e+28,0.0005138330968137597,20475760791.602097,299847.0556146144,0.6213206038524477,8.71636408352042e-20,0.39558600590019577,19377.53082155725
mesa_model_0001_profile_01,0.014034482925915897,28702934963.37005,5.094052813779121e+28,0.0005137056940856178,20467342925.596848,299798.51213636325,0.6213207572885814,8.691435979676701e-20,0.3955854334307535,13220.87360802728
mesa_model_0001_profile_01,0.016034412980832906,32793136405.104015,7.595586680800136e+28,0.0005135931443785029,20459891672.804718,299755.39469669265,0.6213208941978058,8.669361541460601e-20,0.3955849242863528,7635.222081698843
mesa_model_0001_profile_01,0.018034343035749908,36883337846.837975,1.0805198671973355e+29,0.0005134929877805409,20451327693.920143,299689.1024488066,0.6213211487338786,8.63679368371939e-20,0.3955841208027421,2288.4659874197196
mesa_model_0001_profile_01,0.020034273090666913,40973539288.57194,1.4809325327320299e+29,0.0005132707915346438,20441412912.369564,299673.1306446681,0.621321091804937,8.625542335730037e-20,0.39558398050555843,-386.73114556791916
mesa_model_0001_profile_01,0.02203420314558392,45063740730.3059,1.9693107013107242e+29,0.0005128472806924724,20430556926.953545,299758.8648452126,0.6213204303806673,8.658214236051035e-20,0.39558516185504533,105.55563768492789
mesa_model_0001_profile_01,0.024034133200500928,49153942172.03987,2.5540463351032477e+29,0.0005122883736963117,20418668675.0233,299907.5526803085,0.6213193828918829,8.718220939180794e-20,0.395587143089489,-194.0524560438624
mesa_model_0001_profile_01,0.026034063255417933,53244143613.773834,3.24363664299581e+29,0.0005116731439272549,20405667548.324886,300072.91003648954,0.6213182138446852,8.785518317746657e-20,0.39558931509781187,-3330.324965176161
mesa_model_0001_profile_01,0.02803399331033494,57334345055.5078,4.046921349011001e+29,0.0005110807001100099,20391637218.922604,300210.5012960617,0.6213171870895078,8.840334107917391e-20,0.3955911261572903,-4521.366700725206
mesa_model_0001_profile_01,0.030033923365251947,61424546497.24177,4.972802425848014e+29,0.0005105899762288576,20376691004.37726,300276.3275195951,0.6213165657703807,8.862989636166992e-20,0.39559203627093376,2249.9223763838386
mesa_model_0001_profile_01,0.03203385342016895,65514747938.97573,6.0300752662729e+29,0.0005102404911718881,20360845253.92872,300247.72449574515,0.6213164855069389,8.843331423180246e-20,0.39559176946652197,19686.054372373117
mesa_model_0001_profile_01,0.03403378347508596,69604949380.7097,7.2272961304758e+29,0.0005099833284791331,20343898749.741196,300149.89657842147,0.6213167957933111,8.792577594604992e-20,0.3955906421621797,43052.62595125927
mesa_model_0001_profile_01,0.03603371353000297,73695150822.44366,8.572988713951186e+29,0.0005097575287049132,20325620646.038918,300014.56678697653,0.6213173071595088,8.72485662742292e-20,0.3955890514468113,66602.4864043484
mesa_model_0001_profile_01,0.03803364358491997,77785352264.17763,1.0075674973722377e+30,0.0005095034129713884,20305789884.280087,299872.86293791863,0.6213178337784013,8.654035178516573e-20,0.3955873869170315,84672.95500429776
mesa_model_0001_profile_01,0.04003357363983698,81875553705.91159,1.1743828987540868e+30,0.0005091965705471966,20284454956.344414,299739.5203533847,0.6213182901509006,8.586769111771508e-20,0.3955858318241476,93927.74060180825
