star_id,radius_fraction,n_local
mesa_model_0001_profile_01,0.0020349025964138596,25.78658604490459
mesa_model_0001_profile_01,0.0040348326513308655,19.741693419254084
mesa_model_0001_profile_01,0.006034762706247872,14.331602853933852
mesa_model_0001_profile_01,0.008034692761164877,9.556314348943893
mesa_model_0001_profile_01,0.010034622816081884,5.4158279042842
mesa_model_0001_profile_01,0.01203455287099889,0.8676617186393808
mesa_model_0001_profile_01,0.014034482925915897,1.239143795456327
mesa_model_0001_profile_01,0.016034412980832906,3.293593866701681
mesa_model_0001_profile_01,0.018034343035749908,-19.190433243612695
mesa_model_0001_profile_01,0.020034273090666913,-3.848948470083295
mesa_model_0001_profile_01,0.02203420314558392,-2.7397980607492016
mesa_model_0001_profile_01,0.024034133200500928,-2.5229705555442106
mesa_model_0001_profile_01,0.026034063255417933,-2.6846385818758174
mesa_model_0001_profile_01,0.02803399331033494,-3.4904716439497903
mesa_model_0001_profile_01,0.030033923365251947,-9.078217147235922
mesa_model_0001_profile_01,0.03203385342016895,6.01046917629692
mesa_model_0001_profile_01,0.03403378347508596,1.9882809252651688
mesa_model_0001_profile_01,0.03603371353000297,1.2810606961834947
mesa_model_0001_profile_01,0.03803364358491997,1.145621920226774
mesa_model_0001_profile_01,0.04003357363983698,1.2402852302903735
mesa_model_0001_profile_01,0.04203350369475398,1.4185945085543041
mesa_model_0001_profile_01,0.044033433749670996,1.5657867445757194
mesa_model_0001_profile_01,0.046033363804588,1.619523990411565
mesa_model_0001_profile_01,0.04803329385950501,1.589700395802428
mesa_model_0001_profile_01,0.05003322391442201,1.5342812479045222
mesa_model_0001_profile_01,0.05203315396933902,1.4917389338698972
mesa_model_0001_profile_01,0.05403308402425602,1.4718508674966508
mesa_model_0001_profile_01,0.05603301407917303,1.4720858597840631
mesa_model_0001_profile_01,0.05803294413409004,1.4832975541745328
mesa_model_0001_profile_01,0.060032874189007046,1.4980283948616644
mesa_model_0001_profile_01,0.06203280424392405,1.5121799060923797
mesa_model_0001_profile_01,0.06403273429884106,1.5228651415695023
mesa_model_0001_profile_01,0.06603266435375806,1.5286675080760286
mesa_model_0001_profile_01,0.06803259440867507,1.5299160289283795
mesa_model_0001_profile_01,0.07003252446359207,1.5279462029800144
mesa_model_0001_profile_01,0.07203245451850908,1.5238438570880835
mesa_model_0001_profile_01,0.07403238457342608,1.518210935426357
mesa_model_0001_profile_01,0.07603231462834309,1.5114386721268067
mesa_model_0001_profile_01,0.07803224468326009,1.5036109850666197
mesa_model_0001_profile_01,0.0800321747381771,1.494532681334965
mesa_model_0001_profile_01,0.0820321047930941,1.4840598704661148
mesa_model_0001_profile_01,0.08403203484801111,1.472381880663992
mesa_model_0001_profile_01,0.08603196490292812,1.4602026784027038
mesa_model_0001_profile_01,0.08803189495784512,1.4489078221422138
mesa_model_0001_profile_01,0.09003182501276213,1.4405955853322345
mesa_model_0001_profile_01,0.09203175506767913,1.4377194080806928
mesa_model_0001_profile_01,0.09403168512259615,1.4421338514617073
mesa_model_0001_profile_01,0.09603161517751314,1.4539303920228592
mesa_model_0001_profile_01,0.09803154523243016,1.4710739812326883
mesa_model_0001_profile_01,0.10003147528734717,1.4906230536814078
mesa_model_0001_profile_01,0.10203140534226417,1.5103098627388634
mesa_model_0001_profile_01,0.10403133539718118,1.528721128652164
mesa_model_0001_profile_01,0.10603126545209818,1.5444451370410732
mesa_model_0001_profile_01,0.10803119550701519,1.5562797931467234
mesa_model_0001_profile_01,0.11003112556193219,1.5638187896878408
mesa_model_0001_profile_01,0.1120310556168492,1.5672660552811444
mesa_model_0001_profile_01,0.11403098567176621,1.5670115148309198
mesa_model_0001_profile_01,0.11603091572668321,1.5634869229937034
mesa_model_0001_profile_01,0.11803084578160022,1.5571166115832846
mesa_model_0001_profile_01,0.12003077583651722,1.5482793539910988
mesa_model_0001_profile_01,0.12203070589143424,1.5375650633316311
mesa_model_0001_profile_01,0.12403063594635123,1.5262284557456571
mesa_model_0001_profile_01,0.12603056600126825,1.516127536171436
mesa_model_0001_profile_01,0.12803049605618524,1.5090921771542987
mesa_model_0001_profile_01,0.13003042611110224,1.5061447343229901
mesa_model_0001_profile_01,0.13203035616601927,1.5066873865945472
mesa_model_0001_profile_01,0.13403028622093627,1.508811068062951
mesa_model_0001_profile_01,0.13603021627585327,1.5108604950232896
