star_id,n_core,n_rad,n_conv,chi2_piecewise,continuity_errors,beats_global
mesa_model_0001_profile_01,1.4321201884280588,1.8838408391497832,2.6198250880853067,0.22295455277416415,"{'core_rad': 59219269.1504364, 'rad_conv': -18111376.727850676}",True
mesa_model_0050_profile_02,1.1563648769341641,1.7699894585227551,2.3636922673323366,0.14697795687983792,"{'core_rad': 27938940.27096176, 'rad_conv': -55065714.27099013}",True
mesa_model_0100_profile_03,1.3310943709501064,1.6570798518555627,2.2578449968533842,0.16342561494376207,"{'core_rad': 850796090.2252808, 'rad_conv': -396663004.7740598}",True
mesa_model_0150_profile_04,1.4039750721776048,1.578268230375507,2.0327763666627234,0.13966707815132595,"{'core_rad': 43792645148.51758, 'rad_conv': -30757737491.750366}",True
mesa_model_0200_profile_05,5.271966073083851,1.4868688962416428,1.9167667696872652,0.057810605073838894,"{'core_rad': -25909605942399.5, 'rad_conv': 781011223552.6562}",True
mesa_model_0244_profile_06,2.7881138468398126,3.1064132514483878,2.170238087469779,0.06559374025198042,"{'core_rad': -430048265147992.0, 'rad_conv': 25682615309168.92}",True
mesa_model_0250_profile_07,2.6718928790228222,3.135538091164038,2.147237648624226,0.06327414853547927,"{'core_rad': -467934440307120.0, 'rad_conv': 24619822907322.72}",True
mesa_model_0295_profile_08,5.066505119697865,3.5011650830052297,1.9329528378934047,0.03471362103726944,"{'core_rad': 97046442741836.0, 'rad_conv': 7537537189118.6875}",True
